h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
89194e68e7bffff,1601.138,0,0,0,0,0,0,0,london,0.03385820702745163,4118.0,85.40078703867835
89194ad28abffff,544.53735,0,0,0,0,0,0,0,london,0.03384722326279848,4119.0,85.39724181940653
89194ad1583ffff,1331.5265,0,0,6,1,0,0,0,london,0.03383520247364061,4120.0,85.39369660013472
89194ada57bffff,1628.6118,0,0,6,1,0,0,0,london,0.03383520247364061,4120.0,85.39369660013472
891f1d4987bffff,672.59375,0,0,0,0,0,0,0,berlin,0.03378285064397343,4122.0,85.38660616159109
89195daed23ffff,2037.7584,0,0,5,0,0,1,0,london,0.033769729256783586,4123.0,85.38306094231928
891f1d4f023ffff,689.70264,0,0,0,1,0,0,0,berlin,0.03376564305939442,4124.0,85.37951572304746
891f1d4cea3ffff,689.8606,0,0,0,1,0,0,0,berlin,0.03376564305939442,4124.0,85.37951572304746
891f1d4c363ffff,693.8154,0,0,0,1,0,0,0,berlin,0.03376564305939441,4126.0,85.37242528450385
89195da4a4bffff,2659.984,0,0,3,0,0,0,0,london,0.03375602605805486,4127.0,85.36888006523203
89195da6183ffff,1836.1707,0,0,6,0,0,1,0,london,0.03373909615288926,4128.0,85.36533484596022
89194e695b3ffff,1010.7751,0,0,1,0,0,0,0,london,0.03371901704649594,4129.0,85.3617896266884
89194ac300bffff,1027.6631,0,0,1,0,0,0,0,london,0.03371901704649593,4130.0,85.35824440741659
891f1d4ca6fffff,746.5178,0,1,2,0,0,0,1,berlin,0.03370077838827839,4131.0,85.35469918814479
89195da7487ffff,503.7027,0,0,5,0,0,0,0,london,0.033695252234018924,4132.0,85.35115396887298
89194ad3207ffff,509.2293,0,0,5,0,0,0,0,london,0.033695252234018924,4132.0,85.35115396887298
89195db4d7bffff,582.9282,0,0,1,1,0,0,0,london,0.03366877493344862,4134.0,85.34406353032935
89194ada503ffff,1572.1382,1,0,0,0,0,0,0,london,0.033650058822756186,4135.0,85.34051831105754
89194ad9297ffff,1616.3816,0,0,0,0,0,0,0,london,0.033645152108514355,4136.0,85.33697309178572
89194e6d66fffff,872.10693,0,1,3,0,0,0,0,london,0.03358775731310943,4137.0,85.33342787251391
891f1d49c6fffff,717.1846,0,1,1,1,0,0,0,berlin,0.03347222222222222,4138.0,85.32988265324211
891f18b0207ffff,714.40186,0,0,4,0,0,0,0,berlin,0.03334168082880614,4139.0,85.3263374339703
891f1d49c37ffff,713.61346,0,0,4,0,0,0,0,berlin,0.03334168082880613,4140.0,85.32279221469848
